AlarmID,AlarmText,Enable
4128,"0x1020 0x00 : Load, CS0, CS_0 ON->VALID ON : PS ON",0
4129,"0x1021 0x00 : Load, CS0, CS_0 ON->VALID ON : PL ON",0
4130,0x1022 0x00 : Reserved : Reserved,0
4131,0x1023 0x00 : Reserved : Reserved,0
4132,0x1024 0x00 : Reserved : Reserved,0
4133,"0x1025 0x00 : Load, CS0, VALID ON->L_REQ ON : CS_0 OFF",0
4134,"0x1026 0x00 : Load, CS0, VALID ON->L_REQ ON : VALID OFF",0
4135,0x1027 0x00 : Reserved : Reserved,0
4136,"0x1028 0x00 : Load, CS0, VALID ON->L_REQ ON : AM_AVBL OFF",0
4137,"0x1029 0x00 : Load, CS0, VALID ON->L_REQ ON : TR_REQ OFF",0
4138,"0x102A 0x00 : Load, CS0, VALID ON->L_REQ ON : BUSY OFF",0
4139,"0x102B 0x00 : Load, CS0, VALID ON->L_REQ ON : COMPT OFF",0
4140,"0x102C 0x00 : Load, CS0, VALID ON->L_REQ ON : CONT OFF",0
4141,"0x102D 0x00 : Load, CS0, VALID ON->L_REQ ON : ES OFF",0
4142,"0x102E 0x00 : Load, CS0, VALID ON->L_REQ ON : Clamp ON",0
4143,"0x102F 0x00 : Load, CS0, VALID ON->L_REQ ON : EQ_ER ON",0
4144,"0x1030 0x00 : Load, CS0, VALID ON->L_REQ ON : Light Curtain ON",0
4145,"0x1031 0x00 : Load, CS0, VALID ON->L_REQ ON : PS ON",0
4146,"0x1032 0x00 : Load, CS0, VALID ON->L_REQ ON : PL ON",0
4147,0x1033 0x00 : Reserved : Reserved,0
4148,0x1034 0x00 : Reserved : Reserved,0
4149,"0x1035 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : OHT PIO Off-line",0
4150,"0x1036 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : CS_0 OFF",0
4151,"0x1037 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : VALID OFF",0
4152,"0x1038 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : CS_1 OFF",0
4153,"0x1039 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : AM_AVBL OFF",0
4154,"0x103A 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : BUSY OFF",0
4155,"0x103B 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : COMPT OFF",0
4156,"0x103C 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : CONT OFF",0
4157,"0x103D 0x05 : Load, CS0, L_REQ ON->TR_REQ ON : ES OFF",1
4158,"0x103E 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : Clamp ON",0
4159,"0x103F 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : EQ_ER ON",0
4160,"0x1040 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : Light Curtain ON",0
4161,"0x1041 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : PS ON",0
4162,"0x1042 0x00 : Load, CS0, L_REQ ON->TR_REQ ON : PL ON",0
4163,0x1043 0x00 : Reserved : Reserved,0
4164,0x1044 0x00 : Reserved : Reserved,0
4165,"0x1045 0x00 : Load, CS0, TR_REQ ON->READY ON : OHT PIO Off-line",0
4166,"0x1046 0x00 : Load, CS0, TR_REQ ON->READY ON : CS_0 OFF",0
4167,"0x1047 0x00 : Load, CS0, TR_REQ ON->READY ON : VALID OFF",0
4168,"0x1048 0x00 : Load, CS0, TR_REQ ON->READY ON : CS_1 OFF",0
4169,"0x1049 0x00 : Load, CS0, TR_REQ ON->READY ON : AM_AVBL OFF",0
4170,"0x104A 0x00 : Load, CS0, TR_REQ ON->READY ON : TR_REQ OFF",0
4171,"0x104B 0x00 : Load, CS0, TR_REQ ON->READY ON : BUSY OFF",0
4172,"0x104C 0x00 : Load, CS0, TR_REQ ON->READY ON : COMPT OFF",0
4173,"0x104D 0x00 : Load, CS0, TR_REQ ON->READY ON : CONT OFF",0
4174,"0x104E 0x05 : Load, CS0, TR_REQ ON->READY ON : ES OFF",1
4175,"0x104F 0x00 : Load, CS0, TR_REQ ON->READY ON : Clamp ON",0
4176,"0x1050 0x00 : Load, CS0, TR_REQ ON->READY ON : EQ_ER ON",0
4177,"0x1051 0x00 : Load, CS0, TR_REQ ON->READY ON : Light Curtain ON",0
4178,"0x1052 0x00 : Load, CS0, TR_REQ ON->READY ON : PS ON",0
4179,"0x1053 0x00 : Load, CS0, TR_REQ ON->READY ON : PL ON",0
4180,0x1054 0x00 : Reserved : Reserved,0
4181,0x1055 0x00 : Reserved : Reserved,0
4182,"0x1056 0x00 : Load, CS0, READY ON->BUSY ON : OHT PIO Off-line",0
4183,"0x1057 0x00 : Load, CS0, READY ON->BUSY ON : CS_0 OFF",0
4184,"0x1058 0x00 : Load, CS0, READY ON->BUSY ON : VALID OFF",0
4185,"0x1059 0x00 : Load, CS0, READY ON->BUSY ON : CS_1 OFF",0
4186,"0x105A 0x00 : Load, CS0, READY ON->BUSY ON : AM_AVBL OFF",0
4187,"0x105B 0x00 : Load, CS0, READY ON->BUSY ON : TR_REQ OFF",0
4188,"0x105C 0x00 : Load, CS0, READY ON->BUSY ON : COMPT OFF",0
4189,"0x105D 0x00 : Load, CS0, READY ON->BUSY ON : CONT OFF",0
4190,"0x105E 0x05 : Load, CS0, READY ON->BUSY ON : ES OFF",1
4191,"0x105F 0x00 : Load, CS0, READY ON->BUSY ON : Clamp ON",0
4192,"0x1060 0x00 : Load, CS0, READY ON->BUSY ON : EQ_ER ON",0
